bytesize,start_offset,end_offset,1001111111,111101001001000???111,10*11111??1,11?0?1011*111
4096,0,4095,71,0,239,88
4096,4095,8190,22,0,107,33
4096,8190,12285,76,0,13,98
4096,12285,16380,0,0,0,231
4096,16380,20475,1,0,189,177
4096,20475,24570,188,0,699,514
4096,24570,28665,0,0,1,759
4096,28665,32760,11,0,61,1488
4096,32760,36855,39,0,176,65
4096,36855,40950,5,0,57,15
4096,40950,45045,10,1,59,21
4096,45045,49140,27,0,119,49
4096,49140,53235,26,0,126,39
4096,53235,57330,38,0,95,37
4096,57330,61425,21,0,151,43
4096,61425,65520,27,1,121,35
4096,65520,69615,25,0,148,32
4096,69615,73710,38,0,169,59
4096,73710,77805,19,0,119,28
4096,77805,81900,33,0,125,53
4096,81900,85995,24,0,113,41
4096,85995,90090,22,0,98,36
4096,90090,94185,31,0,135,30
4096,94185,98280,15,0,94,27
4096,98280,102375,21,0,64,21
4096,102375,106470,15,0,67,25
4096,106470,110565,9,0,79,24
4096,110565,114660,20,0,136,39
4096,114660,118755,13,0,80,16
4096,118755,122850,13,0,76,16
4096,122850,126945,8,0,78,18
4096,126945,131040,14,0,75,32
4096,131040,135135,15,0,88,34
4096,135135,139230,26,0,73,15
4096,139230,143325,6,0,58,21
4096,143325,147420,8,0,51,13
4096,147420,151515,6,0,59,16
4096,151515,155610,14,0,54,20
4096,155610,159705,12,0,68,24
4096,159705,163800,26,0,111,37
4096,163800,167895,30,0,108,25
4096,167895,171990,29,0,137,49
4096,171990,176085,21,0,109,62
4096,176085,180180,35,0,134,55
4096,180180,184275,25,0,108,34
4096,184275,188370,27,0,142,46
4096,188370,192465,29,0,123,42
4096,192465,196560,26,0,117,46
4096,196560,200655,14,0,112,42
4096,200655,204750,26,0,105,42
4096,204750,208845,24,0,110,41
4096,208845,212940,34,0,119,54
4096,212940,217035,25,1,122,52
4096,217035,221130,21,0,126,56
4096,221130,225225,22,0,124,35
4096,225225,229320,28,0,105,32
4096,229320,233415,45,0,117,36
4096,233415,237510,39,0,124,50
4096,237510,241605,29,0,122,58
4096,241605,245700,33,0,116,38
4096,245700,249795,33,1,116,53
4096,249795,253890,24,0,92,40
4096,253890,257985,35,1,146,59
4096,257985,262080,27,0,114,44
4096,262080,266175,20,0,109,38
4096,266175,270270,23,0,108,44
4096,270270,274365,31,0,134,61
4096,274365,278460,28,0,115,36
4096,278460,282555,23,0,105,32
4096,282555,286650,24,0,103,44
4096,286650,290745,28,0,122,65
4096,290745,294840,17,0,112,42
4096,294840,298935,33,0,125,49
4096,298935,303030,29,0,141,58
4096,303030,307125,29,0,102,45
4096,307125,311220,36,0,103,60
4096,311220,315315,34,0,112,43
4096,315315,319410,27,1,116,49
4096,319410,323505,26,0,106,42
4096,323505,327600,24,0,112,31
4096,327600,331695,35,0,127,50
4096,331695,335790,24,0,123,55
4096,335790,339885,29,0,157,54
4096,339885,343980,26,0,105,39
4096,343980,348075,26,0,117,51
4096,348075,352170,22,0,108,46
4096,352170,356265,21,0,122,42
4096,356265,360360,25,0,102,31
4096,360360,364455,25,0,99,26
4096,364455,368550,26,1,122,50
4096,368550,372645,26,0,121,53
4096,372645,376740,32,0,132,38
4096,376740,380835,27,0,108,50
4096,380835,384930,29,0,118,50
4096,384930,389025,17,0,87,34
4096,389025,393120,33,0,147,56
4096,393120,397215,35,0,136,56
4096,397215,401310,29,0,119,45
4096,401310,405405,31,0,104,34
4096,405405,409500,34,0,158,57
4096,409500,413595,26,0,117,47
4096,413595,417690,22,0,136,35
4096,417690,421785,26,0,125,46
4096,421785,425880,28,1,148,51
4096,425880,429975,23,0,79,30
4096,429975,434070,30,0,105,36
4096,434070,438165,17,0,74,22
4096,438165,442260,39,1,139,46
4096,442260,446355,32,0,148,36
4096,446355,450450,22,1,136,43
4096,450450,454545,36,0,91,39
4096,454545,458640,34,0,135,35
4096,458640,462735,31,0,137,25
4096,462735,466830,38,0,127,34
4096,466830,470925,35,0,122,30
4096,470925,475020,30,1,113,30
4096,475020,479115,30,0,142,26
4096,479115,483210,29,0,125,34
4096,483210,487305,28,0,125,41
4096,487305,491400,32,0,138,23
4096,491400,495495,38,0,144,29
4096,495495,499590,15,0,119,39
4096,499590,503685,24,0,136,28
4096,503685,507780,13,0,64,29
4096,507780,511875,0,0,5,9
4096,511875,515970,0,0,0,0
4096,515970,520065,0,0,0,0
4096,520065,524160,0,0,0,0
4096,524160,528255,0,0,0,0
4096,528255,532350,0,0,0,0
4096,532350,536445,0,0,0,0
4096,536445,540540,0,0,0,0
4096,540540,544635,0,0,7,12
4096,544635,548730,0,0,2,3
4096,548730,552825,0,0,0,0
4096,552825,556920,0,0,0,0
4096,556920,561015,0,0,0,0
4096,561015,565110,0,0,0,0
4096,565110,569205,0,0,0,0
4096,569205,573300,0,0,0,0
4096,573300,577395,0,0,0,1
4096,577395,581490,25,0,110,19
4096,581490,585585,37,0,132,29
4096,585585,589680,26,0,120,29
4096,589680,593775,36,0,156,36
4096,593775,597870,40,0,128,34
4096,597870,601965,30,0,121,30
4096,601965,606060,26,0,129,23
4096,606060,610155,36,0,114,46
4096,610155,614250,38,0,125,31
4096,614250,618345,37,0,130,39
4096,618345,622440,0,0,7,13
4096,622440,626535,0,0,0,0
4096,626535,630630,0,0,0,0
4096,630630,634725,0,0,0,0
4096,634725,638820,0,0,0,0
4096,638820,642915,0,0,0,0
4096,642915,647010,0,0,0,0
4096,647010,651105,0,0,0,0
4096,651105,655200,0,0,3,6
4096,655200,659295,0,0,6,9
4096,659295,663390,0,0,0,0
4096,663390,667485,0,0,0,0
4096,667485,671580,0,0,0,0
4096,671580,675675,0,0,0,0
4096,675675,679770,0,0,0,0
4096,679770,683865,0,0,0,0
4096,683865,687960,0,0,0,0
4096,687960,692055,18,1,71,18
4096,692055,696150,32,0,141,47
4096,696150,700245,44,0,139,23
4096,700245,704340,44,1,166,28
4096,704340,708435,39,0,134,44
4096,708435,712530,33,1,131,38
4096,712530,716625,27,1,103,26
4096,716625,720720,34,0,133,46
4096,720720,724815,28,1,120,41
4096,724815,728910,28,0,99,24
4096,728910,733005,34,0,122,40
4096,733005,737100,32,0,113,36
4096,737100,741195,35,0,115,32
4096,741195,745290,21,0,88,45
4096,745290,749385,38,0,128,29
4096,749385,753480,36,1,107,53
4096,753480,757575,38,0,119,36
4096,757575,761670,32,0,132,37
4096,761670,765765,26,0,126,30
4096,765765,769860,50,0,177,36
4096,769860,773955,12,0,97,28
4096,773955,778050,30,0,113,38
4096,778050,782145,28,0,134,40
4096,782145,786240,42,0,121,33
4096,786240,790335,25,0,122,30
4096,790335,794430,34,0,131,46
4096,794430,798525,17,0,110,28
4096,798525,802620,39,0,125,51
4096,802620,806715,36,0,137,35
4096,806715,810810,38,0,133,27
4096,810810,814905,29,0,120,36
4096,814905,819000,30,0,120,45
4096,819000,823095,31,0,119,46
4096,823095,827190,29,0,118,32
4096,827190,831285,31,0,125,40
4096,831285,835380,35,0,141,55
4096,835380,839475,30,0,98,23
4096,839475,843570,28,1,142,36
4096,843570,847665,26,0,115,43
4096,847665,851760,23,0,127,31
4096,851760,855855,26,0,145,36
4096,855855,859950,34,0,121,29
4096,859950,864045,28,0,111,35
4096,864045,868140,28,0,121,36
4096,868140,872235,24,1,123,44
4096,872235,876330,33,0,149,49
4096,876330,880425,32,0,115,32
4096,880425,884520,25,0,133,47
4096,884520,888615,23,0,120,31
4096,888615,892710,33,0,145,51
4096,892710,896805,28,0,115,45
4096,896805,900900,29,0,122,33
4096,900900,904995,36,0,141,46
4096,904995,909090,24,1,107,37
4096,909090,913185,34,0,113,46
4096,913185,917280,39,0,119,49
4096,917280,921375,22,0,89,45
4096,921375,925470,31,0,107,31
4096,925470,929565,29,0,115,48
4096,929565,933660,28,1,120,52
4096,933660,937755,22,0,132,42
4096,937755,941850,31,0,100,38
4096,941850,945945,42,0,129,36
4096,945945,950040,34,0,133,38
4096,950040,954135,34,0,140,43
4096,954135,958230,36,0,104,30
4096,958230,962325,28,0,97,33
4096,962325,966420,35,0,162,47
4096,966420,970515,26,0,124,45
4096,970515,974610,31,1,118,49
4096,974610,978705,41,0,122,48
4096,978705,982800,33,0,136,37
4096,982800,986895,39,0,130,36
4096,986895,990990,36,0,103,41
4096,990990,995085,28,0,128,44
4096,995085,999180,23,0,112,35
4096,999180,1003275,44,0,125,42
4096,1003275,1007370,30,0,127,28
4096,1007370,1011465,30,0,112,30
4096,1011465,1015560,35,0,133,35
4096,1015560,1019655,3,0,53,33
4096,1019655,1023750,2,0,62,20
4096,1023750,1027845,1,0,75,33
4096,1027845,1031940,3,0,73,24
4096,1031940,1036035,3,0,60,21
4096,1036035,1040130,4,0,65,25
4096,1040130,1044225,4,0,77,24
4096,1044225,1048320,0,0,68,25
4096,1048320,1052415,4,0,69,25
4096,1052415,1056510,5,0,74,22
4096,1056510,1060605,5,0,77,29
4096,1060605,1064700,21,0,100,32
4096,1064700,1068795,29,0,132,42
4096,1068795,1072890,35,0,131,43
4096,1072890,1076985,35,0,113,40
4096,1076985,1081080,20,0,97,28
4096,1081080,1085175,8,0,36,9
4096,1085175,1089270,23,0,109,23
4096,1089270,1093365,25,0,79,29
4096,1093365,1097460,2,0,33,3
4096,1097460,1101555,26,0,94,38
4096,1101555,1105650,35,0,160,35
4096,1105650,1109745,28,0,129,41
4096,1109745,1113840,34,0,126,37
4096,1113840,1117935,23,0,129,57
4096,1117935,1122030,30,0,116,37
4096,1122030,1126125,35,0,149,49
4096,1126125,1130220,25,0,120,34
4096,1130220,1134315,28,0,102,43
4096,1134315,1138410,15,0,108,28
4096,1138410,1142505,3,0,87,24
4096,1142505,1146600,5,0,86,24
4096,1146600,1150695,30,0,118,43
4096,1150695,1154790,10,0,92,29
4096,1154790,1158885,3,0,76,9
4096,1158885,1162980,1,0,111,6
4096,1162980,1167075,26,1,130,40
4096,1167075,1171170,23,0,119,47
4096,1171170,1175265,10,0,49,19
4096,1175265,1179360,11,0,35,6
4096,1179360,1183455,37,1,139,30
4096,1183455,1187550,30,0,130,46
4096,1187550,1191645,28,0,93,38
4096,1191645,1195740,33,0,121,40
4096,1195740,1199835,30,0,77,31
4096,1199835,1203930,21,0,78,34
4096,1203930,1208025,3,0,70,23
4096,1208025,1212120,17,0,85,18
4096,1212120,1216215,40,0,132,42
4096,1216215,1220310,28,0,102,34
4096,1220310,1224405,4,0,71,20
4096,1224405,1228500,5,0,65,29
4096,1228500,1232595,21,0,111,31
4096,1232595,1236690,31,0,107,29
4096,1236690,1240785,29,0,120,38
4096,1240785,1244880,40,0,126,43
4096,1244880,1248975,45,2,145,34
4096,1248975,1253070,29,0,99,34
4096,1253070,1257165,30,0,110,41
4096,1257165,1261260,35,0,140,47
4096,1261260,1265355,22,0,112,39
4096,1265355,1269450,38,0,117,38
4096,1269450,1273545,29,0,124,29
4096,1273545,1277640,60,1,130,47
4096,1277640,1281735,30,0,116,34
4096,1281735,1285830,31,0,109,42
4096,1285830,1289925,43,0,111,38
4096,1289925,1294020,35,0,125,36
4096,1294020,1298115,29,3,123,63
4096,1298115,1302210,38,1,133,35
4096,1302210,1306305,34,0,116,47
4096,1306305,1310400,28,0,100,36
4096,1310400,1314495,41,1,128,38
4096,1314495,1318590,31,0,112,38
4096,1318590,1322685,34,0,117,29
4096,1322685,1326780,27,0,146,47
4096,1326780,1330875,35,1,111,25
4096,1330875,1334970,34,0,113,28
4096,1334970,1339065,41,0,125,34
4096,1339065,1343160,25,1,114,45
4096,1343160,1347255,27,0,113,42
4096,1347255,1351350,31,0,107,25
4096,1351350,1355445,31,0,128,44
4096,1355445,1359540,31,0,126,41
4096,1359540,1363635,50,0,150,43
4096,1363635,1367730,22,0,109,43
4096,1367730,1371825,34,0,139,48
4096,1371825,1375920,33,0,138,52
4096,1375920,1380015,30,0,113,26
4096,1380015,1384110,36,0,158,21
4096,1384110,1388205,31,0,114,45
4096,1388205,1392300,28,0,156,37
4096,1392300,1396395,28,0,110,40
4096,1396395,1400490,37,0,122,37
4096,1400490,1404585,39,0,151,54
4096,1404585,1408680,27,0,123,40
4096,1408680,1412775,39,0,140,35
4096,1412775,1416870,29,0,133,48
4096,1416870,1420965,39,0,134,35
4096,1420965,1425060,41,0,153,37
4096,1425060,1429155,39,0,115,37
4096,1429155,1433250,23,0,104,34
4096,1433250,1437345,35,0,112,37
4096,1437345,1441440,26,0,120,33
4096,1441440,1445535,24,0,139,38
4096,1445535,1449630,33,0,132,44
4096,1449630,1453725,26,0,118,33
4096,1453725,1457820,32,0,135,32
4096,1457820,1461915,26,0,111,29
4096,1461915,1466010,36,0,132,29
4096,1466010,1470105,30,0,127,42
4096,1470105,1474200,18,0,113,28
4096,1474200,1478295,29,0,124,30
4096,1478295,1482390,18,1,115,26
4096,1482390,1486485,35,0,127,40
4096,1486485,1490580,24,0,114,28
4096,1490580,1494675,40,0,119,37
4096,1494675,1498770,33,0,127,46
4096,1498770,1502865,39,0,131,31
4096,1502865,1506960,38,0,131,40
4096,1506960,1511055,40,0,118,34
4096,1511055,1515150,39,0,144,48
4096,1515150,1519245,42,0,123,36
4096,1519245,1523340,28,0,119,44
4096,1523340,1527435,35,0,122,38
4096,1527435,1531530,26,0,123,44
4096,1531530,1535625,29,0,136,21
4096,1535625,1539720,28,0,107,35
4096,1539720,1543815,3,0,81,74
4096,1543815,1547910,0,0,68,54
4096,1547910,1552005,5,0,83,72
4096,1552005,1556100,26,0,134,29
4096,1556100,1560195,32,0,116,38
4096,1560195,1564290,13,0,99,28
4096,1564290,1568385,12,0,118,33
4096,1568385,1572480,15,0,128,30
4096,1572480,1576575,28,0,145,34
4096,1576575,1580670,33,0,139,34
4096,1580670,1584765,19,0,101,38
4096,1584765,1588860,3,0,99,10
4096,1588860,1592955,2,0,37,31
4096,1592955,1597050,5,0,40,70
4096,1597050,1601145,24,0,117,33
4096,1601145,1605240,40,0,123,38
4096,1605240,1609335,30,0,94,22
4096,1609335,1613430,35,0,145,37
4096,1613430,1617525,36,0,130,35
4096,1617525,1621620,26,0,117,33
4096,1621620,1625715,32,0,133,34
4096,1625715,1629810,23,0,115,30
4096,1629810,1633905,30,1,132,30
4096,1633905,1638000,34,0,126,37
4096,1638000,1642095,38,0,137,49
4096,1642095,1646190,35,0,124,42
4096,1646190,1650285,29,0,129,35
4096,1650285,1654380,29,0,125,40
4096,1654380,1658475,28,0,124,36
4096,1658475,1662570,34,0,106,30
4096,1662570,1666665,29,0,130,43
4096,1666665,1670760,32,0,113,27
4096,1670760,1674855,18,0,106,33
4096,1674855,1678950,26,0,120,33
4096,1678950,1683045,23,0,110,45
4096,1683045,1687140,13,1,64,25
4096,1687140,1691235,7,0,75,32
4096,1691235,1695330,12,0,85,38
4096,1695330,1699425,8,0,132,87
4096,1699425,1703520,7,0,75,12
4096,1703520,1707615,4,0,84,15
4096,1707615,1711710,24,0,87,40
4096,1711710,1715805,25,0,127,24
4096,1715805,1719900,16,0,66,27
4096,1719900,1723995,11,0,45,20
4096,1723995,1728090,8,0,32,10
4096,1728090,1732185,45,0,122,47
4096,1732185,1736280,30,0,110,31
4096,1736280,1740375,43,0,130,29
4096,1740375,1744470,24,0,115,28
4096,1744470,1748565,32,0,108,34
4096,1748565,1752660,6,0,57,19
4096,1752660,1756755,2,0,37,8
4096,1756755,1760850,1,0,28,12
4096,1760850,1764945,4,0,32,59
4096,1764945,1769040,4,0,40,25
4096,1769040,1773135,8,0,60,17
4096,1773135,1777230,3,0,69,18
4096,1777230,1781325,10,0,90,17
4096,1781325,1785420,30,0,151,28
4096,1785420,1789515,36,1,118,36
4096,1789515,1793610,20,0,88,41
4096,1793610,1797705,8,0,66,25
4096,1797705,1801800,8,0,78,15
4096,1801800,1805895,24,0,102,21
4096,1805895,1809990,29,0,105,28
4096,1809990,1814085,34,1,122,63
4096,1814085,1818180,28,0,99,32
4096,1818180,1822275,27,0,155,33
4096,1822275,1826370,42,1,154,38
4096,1826370,1830465,38,0,131,40
4096,1830465,1834560,19,0,115,31
4096,1834560,1838655,26,0,94,36
4096,1838655,1842750,2,0,35,17
4096,1842750,1846845,1,0,41,10
4096,1846845,1850940,2,0,38,14
4096,1850940,1855035,3,0,36,18
4096,1855035,1859130,3,0,36,20
4096,1859130,1863225,5,0,48,32
4096,1863225,1867320,1,0,59,39
4096,1867320,1871415,14,0,93,37
4096,1871415,1875510,20,0,122,29
4096,1875510,1879605,35,0,134,34
4096,1879605,1883700,20,0,84,31
4096,1883700,1887795,3,0,26,19
4096,1887795,1891890,14,0,42,16
4096,1891890,1895985,11,0,38,16
4096,1895985,1900080,17,0,77,28
4096,1900080,1904175,29,0,113,34
4096,1904175,1908270,47,0,130,56
4096,1908270,1912365,5,0,44,75
4096,1912365,1916460,6,0,48,31
4096,1916460,1920555,11,0,55,35
4096,1920555,1924650,24,0,92,42
4096,1924650,1928745,25,0,110,24
4096,1928745,1932840,27,0,133,53
4096,1932840,1936935,20,0,101,32
4096,1936935,1941030,2,0,42,19
4096,1941030,1945125,3,0,47,13
4096,1945125,1949220,8,0,45,21
4096,1949220,1953315,10,0,93,64
4096,1953315,1957410,21,0,114,17
4096,1957410,1961505,37,0,133,59
4096,1961505,1965600,27,0,122,40
4096,1965600,1969695,26,0,122,29
4096,1969695,1973790,24,0,114,23
4096,1973790,1977885,39,0,145,34
4096,1977885,1981980,24,0,112,37
4096,1981980,1986075,22,0,75,23
4096,1986075,1990170,8,0,58,20
4096,1990170,1994265,8,0,59,23
4096,1994265,1998360,11,0,56,25
4096,1998360,2002455,19,0,63,20
4096,2002455,2006550,21,0,83,34
4096,2006550,2010645,42,0,126,36
4096,2010645,2014740,29,0,145,42
